Unnamed: 0_x,County,People 1 Mile and More,People 1/2 Mile and More,People 10 Miles and More,People 20 Miles and More,Population,State,Unnamed: 0_y,Civilian labour force,Employed poulation,Rate of Unemployment,Unemployed population
575,Clinton,3482.4408659999995,4656.797336,112.88664879999999,0.0,20743,MO,1536,10995.0,10461.0,5.0,534.0
576,Clinton,16634.63587,22169.88126,4558.262597999999,0.098970708,82128,NY,1873,36125.0,34024.0,6.0,2101.0
577,Clinton,8487.254828000001,11951.133890000001,0.0,0.0,42040,OH,2095,16685.0,15650.0,6.0,1035.0
578,Clinton,7579.624348,10285.93239,659.5482451,0.0,39238,PA,2303,18762.0,17470.0,7.0,1292.0
579,Cloud,1670.265547,2877.818544,1064.080402,0.0,9533,KS,922,4312.0,4148.0,4.0,164.0
580,Coahoma,6615.419152,11941.686459999999,2841.9270899999997,0.601529274,26151,MS,1442,9451.0,8500.0,10.0,951.0
581,Coal,1778.418439,2060.621602,716.5107604,0.0,5925,OK,2185,2320.0,2143.0,8.0,177.0
582,Cobb,60600.670360000004,128687.9535,0.0,0.0,688078,GA,434,398319.0,378139.0,5.0,20180.0
583,Cochise,29375.8544,39387.016319999995,5686.677898,2225.654352,131346,AZ,104,50087.0,46447.0,7.0,3640.0
584,Cochran,508.7055488,785.0674999,312.3413399,0.152556834,3127,TX,2609,1316.0,1249.0,5.0,67.0
585,Cocke,13643.092169999998,16354.05302,1811.575281,0.0,35662,TN,2488,14382.0,13266.0,8.0,1116.0
586,Coconino,25410.29515,42279.31671,10926.35293,5628.940903,134421,AZ,105,72942.0,68209.0,7.0,4733.0
587,Codington,3489.713272,5593.040097,484.2729114,0.0,27227,SD,2420,15292.0,14820.0,3.0,472.0
588,Coffee,12459.8776,15660.04505,987.7834995999999,0.0,49948,AL,17,20269.0,19062.0,6.0,1207.0
589,Coffee,15724.12812,18875.43039,1305.948901,0.0,42356,GA,435,17291.0,16129.0,7.0,1162.0
590,Coffee,12139.68752,16459.38751,282.5056097,0.0,52796,TN,2489,24249.0,22909.0,6.0,1340.0
591,Coffey,2059.2025320000002,2478.177357,1143.824678,0.0,8601,KS,923,4741.0,4470.0,6.0,271.0
592,Coke,1216.24794,1216.24794,1216.0554220000001,988.2475732999999,3320,TX,2610,1396.0,1340.0,4.0,56.0
593,Colbert,12290.02933,16114.77964,138.69077869999998,0.0,54428,AL,18,23603.0,21733.0,8.0,1870.0
594,Cole,10064.14934,16589.67876,45.16102244,0.0,75990,MO,1537,39394.0,37818.0,4.0,1576.0
595,Coleman,2369.6070440000003,3681.99653,609.9940766,55.10139876,8895,TX,2611,3048.0,2879.0,6.0,169.0
596,Coles,7005.375773000001,16185.1404,601.7612891,0.0,53873,IL,626,24079.0,22622.0,6.0,1457.0
597,Colfax,1169.394177,2834.031453,609.9668203,0.0,10515,NE,1703,5550.0,5405.0,3.0,145.0
598,Colfax,3946.290565,4886.7570479999995,1587.7968740000001,1354.74511,13750,NM,1834,6012.0,5652.0,6.0,360.0
599,Colleton,15130.14087,17429.00906,3854.067785,0.0,38892,SC,2374,16719.0,15555.0,7.0,1164.0
600,Collier,40167.02933,74697.46874,642.1243026000001,529.0951383,321520,FL,344,163708.0,155094.0,5.0,8614.0
601,Collin,41662.7766,96814.81771,2.466196016,0.0,782341,TX,2612,488234.0,470529.0,4.0,17705.0
602,Collingsworth,292.2297599,870.8520865,66.19657942,0.0,3057,TX,2613,1270.0,1223.0,4.0,47.0
603,Colonial Heights,995.3045227,2983.132499,0.0,0.0,17411,VA,,,,,
604,Colorado,3601.217368,5223.577693,903.4988426000001,1.4116504069999998,20874,TX,2614,9899.0,9509.0,4.0,390.0
605,Colquitt,14982.73019,18200.97811,1668.855176,0.0,45498,GA,436,20053.0,18773.0,6.0,1280.0
606,Columbia,6061.868885,8710.744544,525.5784903,0.0,24552,AR,132,9537.0,8914.0,7.0,623.0
607,Columbia,22069.32125,26369.28037,2717.7138609999997,0.0,67531,FL,345,28978.0,27383.0,6.0,1595.0
608,Columbia,11706.06538,21059.5576,208.63530649999998,0.0,124053,GA,437,68650.0,65209.0,5.0,3441.0
609,Columbia,12909.45125,14820.06825,91.97106562,0.0,63096,NY,1874,31588.0,30331.0,4.0,1257.0
610,Columbia,6811.200612000001,10180.2084,87.70605036,0.0,49351,OR,2253,22682.0,21060.0,7.0,1622.0
611,Columbia,9378.982323,15800.360709999999,0.0,0.0,67295,PA,2304,33735.0,31827.0,6.0,1908.0
612,Columbia,708.79629,1274.074714,171.6691838,1.254816122,4078,WA,3010,1695.0,1583.0,7.0,112.0
613,Columbia,7185.996679999999,11407.49229,5.483601351,0.0,56833,WI,3110,31366.0,29996.0,4.0,1370.0
614,Columbiana,22056.33325,31754.78167,548.4412891,0.0,107841,OH,2096,49382.0,46486.0,6.0,2896.0
615,Columbus,18715.72173,21918.92519,129.5775565,0.0,58098,NC,1950,22610.0,20907.0,8.0,1703.0
616,Colusa,2417.434111,4609.589848,508.7587649,141.14950109999998,21419,CA,200,11070.0,9367.0,15.0,1703.0
617,Comal,17377.48313,23173.10001,0.0,0.0,108472,TX,2615,61841.0,59574.0,4.0,2267.0
618,Comanche,418.634402,455.00982080000006,125.84861090000001,3.7080741930000003,1891,KS,924,992.0,959.0,3.0,33.0
619,Comanche,26443.26909,42095.37217,1383.559599,16.37510637,124098,OK,2186,49642.0,47478.0,4.0,2164.0
620,Comanche,2896.57018,4681.470069,746.1164297,0.0,13974,TX,2616,5354.0,5127.0,4.0,227.0
621,Concho,492.2741908,699.9237716,417.29540049999997,27.61322379,4087,TX,2617,1373.0,1328.0,3.0,45.0
622,Concordia,5890.968375,9506.561402,959.6313498,19.73583721,20822,LA,1149,7553.0,6899.0,9.0,654.0
623,Conecuh,5483.482347,6738.269303,1955.507812,0.0,13228,AL,19,4681.0,4249.0,9.0,432.0
624,Conejos,2935.04092,3249.556611,182.1254821,18.47499674,8256,CO,265,3597.0,3392.0,6.0,205.0
625,Contra Costa,37334.08963,125488.1921,0.0,0.0,1049025,CA,,,,,
626,Converse,1146.636559,2141.8061350000003,132.0879517,67.21124205,13833,WY,3177,8332.0,8026.0,4.0,306.0
627,Conway,6894.000881999999,8581.485639,1806.0792809999998,0.0,21273,AR,133,8639.0,8113.0,6.0,526.0
628,Cook,5829.286215,6538.878494,118.30292240000001,0.0,17212,GA,438,7287.0,6801.0,7.0,486.0
629,Cook,93922.76045,599757.5264,0.0,0.0,5194675,IL,627,2648861.0,2484494.0,6.0,164367.0
630,Cook,1014.6914730000001,1140.605874,337.7537418,188.39845359999998,5176,MN,1356,3154.0,3016.0,4.0,138.0
631,Cooke,6989.997868,11420.174840000001,285.90163989999996,0.0,38437,TX,2618,19752.0,19024.0,4.0,728.0
632,Cooper,3319.634454,4643.0011859999995,1186.027665,0.0,17601,MO,1538,7616.0,7176.0,6.0,440.0
633,Coos,6561.543718999999,8870.771293000002,473.95328099999995,16.51708613,33055,NH,1800,14755.0,14111.0,4.0,644.0
634,Coos,9494.864747,16016.54925,640.8133283,0.0,63043,OR,2254,25947.0,24020.0,7.0,1927.0
635,Coosa,4088.011039,4450.703351,751.2303076000001,0.0,11539,AL,20,4426.0,4130.0,7.0,296.0
636,Copiah,11361.2764,13095.72624,1450.367554,0.141451238,29449,MS,1443,11260.0,10447.0,7.0,813.0
637,Corson,2837.105826,2837.105826,2548.879227,2072.815129,4050,SD,2421,1488.0,1412.0,5.0,76.0
638,Cortland,6799.003659999999,12333.66544,232.56031569999996,0.0,49336,NY,1875,23403.0,22028.0,6.0,1375.0
639,Coryell,13084.87384,20850.235819999998,887.6912242000001,8.795806004,75388,TX,2619,24484.0,23318.0,5.0,1166.0
640,Coshocton,10053.48355,13545.99084,529.6245117,0.0,36901,OH,2097,15850.0,14841.0,6.0,1009.0
641,Costilla,1951.5076239999999,1951.5076239999999,1950.500864,1564.113686,3524,CO,266,1622.0,1518.0,6.0,104.0
642,Cottle,138.0196118,315.0032318,67.56768476,0.031093724,1505,TX,2620,545.0,506.0,7.0,39.0
643,Cotton,1434.560691,1766.333973,145.6491385,0.0,6193,OK,2187,2861.0,2742.0,4.0,119.0
644,Cottonwood,2107.220261,2501.3264870000003,1348.192293,0.0,11687,MN,1357,5788.0,5513.0,5.0,275.0
645,Covington,9690.511288,13958.5889,875.907966,0.0,37765,AL,21,15457.0,14353.0,7.0,1104.0
646,Covington,7997.143317,8910.420228,0.0,0.0,19568,MS,1444,7967.0,7501.0,6.0,466.0
647,Covington,541.1598829,1493.914335,0.0,0.0,5961,VA,2971,2418.0,2272.0,6.0,146.0
648,Coweta,22095.9298,29665.012580000002,0.0,0.0,127317,GA,439,67859.0,64257.0,5.0,3602.0
649,Cowley,4331.224652,9764.348361,1022.993232,69.59809321,36311,KS,925,17042.0,16263.0,5.0,779.0
650,Cowlitz,20213.898569999998,29750.437060000004,342.2311773,0.0,102410,WA,3011,44124.0,40697.0,8.0,3427.0
651,Craig,4065.877857,5535.425659,1008.612431,0.0,15029,OK,2188,6261.0,5958.0,5.0,303.0
652,Craig,1066.317867,1245.964174,215.9961477,0.0,5190,VA,2892,2380.0,2249.0,6.0,131.0
653,Craighead,21414.63975,31861.89074,221.71755919999998,0.0,96443,AR,134,50999.0,48745.0,4.0,2254.0
654,Crane,177.4161111,798.8022004,48.2394724,0.0,4375,TX,2621,1835.0,1730.0,6.0,105.0
655,Craven,19486.465519999998,28296.142789999998,70.38637578,0.0,103505,NC,1951,41340.0,38837.0,6.0,2503.0
656,Crawford,18242.896969999998,24200.93793,2140.535043,0.0,61948,AR,135,26854.0,25460.0,5.0,1394.0
657,Crawford,4527.483386999999,4841.5858259999995,5.172406575,0.0,12630,GA,440,5576.0,5225.0,6.0,351.0
658,Crawford,3134.973648,3918.066743,901.7799198999999,0.0,17096,IA,831,8754.0,8386.0,4.0,368.0
659,Crawford,4041.118908,6074.279571,258.9548376,0.0,19817,IL,628,9629.0,9059.0,6.0,570.0
660,Crawford,3652.722025,3897.3411880000003,466.0647756,0.0,10713,IN,727,4918.0,4621.0,6.0,297.0
661,Crawford,9989.946856999999,14417.99866,642.0808477999999,0.0,39134,KS,926,18928.0,17964.0,5.0,964.0
662,Crawford,4277.485487,4782.657035,482.5597058999999,0.0,14074,MI,1276,5264.0,4852.0,8.0,412.0
663,Crawford,7036.172198,8856.656115,384.35578960000004,0.0,24696,MO,1539,10911.0,10254.0,6.0,657.0
664,Crawford,5182.043331,11357.36154,0.0,0.0,43784,OH,2098,19074.0,17968.0,6.0,1106.0
665,Crawford,21409.98055,28123.04085,497.67748150000006,0.0,88765,PA,2305,41044.0,38908.0,5.0,2136.0
666,Crawford,4974.551294,5633.468546,710.8909084,0.0,16644,WI,3111,7910.0,7448.0,6.0,462.0
667,Creek,17000.07974,21944.88657,205.3267939,0.0,69967,OK,2189,31339.0,29781.0,5.0,1558.0
668,Crenshaw,4810.3498979999995,5059.656529,2202.067047,0.0,13906,AL,22,6355.0,5974.0,6.0,381.0
669,Crisp,9247.031066,11338.47609,55.45272286,0.0,23439,GA,441,9426.0,8781.0,7.0,645.0
670,Crittenden,7034.807288,18809.13404,166.6876384,0.0,50902,AR,136,21424.0,20102.0,6.0,1322.0
671,Crittenden,2872.888941,3378.2052329999997,0.0,0.0,9315,KY,1041,3823.0,3617.0,5.0,206.0
672,Crockett,4257.949336,5684.478341,55.93894883,0.0,14586,TN,2490,6811.0,6372.0,6.0,439.0
673,Crockett,291.03017969999996,1267.147628,112.09522700000001,40.23576013,3719,TX,2622,1899.0,1785.0,6.0,114.0
674,Crook,3194.9624989999998,4655.428538,522.1883899000001,104.1441988,20978,OR,2255,9022.0,8269.0,8.0,753.0
675,Crook,2144.3882399999998,2236.728165,1834.5036469999998,750.6047999,7083,WY,3178,3716.0,3586.0,4.0,130.0
676,Crosby,475.0667039,1513.980411,113.74777350000001,0.0,6059,TX,2623,2645.0,2531.0,4.0,114.0
677,Cross,4718.878537,6604.276811,1021.6584320000001,0.0,17870,AR,137,8101.0,7663.0,5.0,438.0
678,Crow Wing,11356.25143,16060.96145,108.6603581,0.0,62500,MN,,,,,
679,Crowley,3272.968313,3275.564395,1745.1125350000002,40.58797846,5823,CO,267,1353.0,1293.0,4.0,60.0
680,Culberson,1028.16184,1309.823307,86.55948535,64.6897877,2398,TX,2624,1039.0,996.0,4.0,43.0
681,Cullman,25025.94353,30163.369239999996,271.83245469999997,0.0,80406,AL,23,36384.0,34472.0,5.0,1912.0
682,Culpeper,6318.403536,8701.845636,164.6368898,0.0,46689,VA,2893,23103.0,22098.0,4.0,1005.0
683,Cumberland,2490.636172,2766.5952260000004,16.18737297,0.0,11048,IL,629,5904.0,5593.0,5.0,311.0
684,Cumberland,2883.947772,3251.494304,86.57621126,0.0,6856,KY,1042,2906.0,2733.0,6.0,173.0
685,Cumberland,33072.592319999996,49906.84521,18.71204609,0.0,281674,ME,1202,157921.0,152496.0,3.0,5425.0
686,Cumberland,55640.945320000006,96744.25933,59.08195542,0.0,319431,NC,1952,126260.0,117036.0,7.0,9224.0
687,Cumberland,22859.05356,42489.825339999996,144.1272885,0.0,156898,NJ,1813,68117.0,62100.0,9.0,6017.0
688,Cumberland,18081.93815,35653.70351,7.560814664,0.0,235406,PA,2306,128389.0,123266.0,4.0,5123.0
689,Cumberland,17716.051330000002,20586.6614,1170.520698,0.0,56053,TN,2491,22892.0,21274.0,7.0,1618.0
690,Cumberland,3828.011813,3828.011813,2074.045607,0.0,10052,VA,2894,4555.0,4320.0,5.0,235.0
691,Cuming,1671.650735,1903.095871,872.5862133999999,0.0,9139,NE,1704,4839.0,4710.0,3.0,129.0
692,Currituck,5117.485268,5583.5835369999995,648.7083326000001,0.0,23547,NC,1953,12848.0,12103.0,6.0,745.0
693,Curry,9249.511749,16115.188380000001,604.2275903,143.60834409999998,48376,NM,1835,21806.0,20743.0,5.0,1063.0
694,Curry,4243.038354,6375.757301,371.8827893,40.35760262,22364,OR,2256,8712.0,7994.0,8.0,718.0
695,Custer,991.5077694,1011.493817,347.1336888,31.00259568,4255,CO,268,1988.0,1918.0,4.0,70.0
696,Custer,896.8281119,1088.28902,370.5338602,151.3679157,4368,ID,585,2129.0,1986.0,7.0,143.0
697,Custer,2348.529876,3816.3315509999998,235.17777169999997,117.5402317,11699,MT,1636,6378.0,6168.0,3.0,210.0
698,Custer,2609.17635,3302.1642239999996,1990.207236,393.3076187,10939,NE,1705,6284.0,6144.0,2.0,140.0
699,Custer,4468.685915,7848.929644,1221.987617,42.04202425,27469,OK,2190,15655.0,15020.0,4.0,635.0
700,Custer,1375.8261029999999,1611.17604,588.3346864,45.65198762,8216,SD,2422,3956.0,3788.0,4.0,168.0
701,Cuyahoga,49812.87535,243367.2756,0.0,0.0,1280122,OH,2099,608690.0,577037.0,5.0,31653.0
702,Dade,4841.960903,5323.566415,55.85640032,0.0,16633,GA,442,7853.0,7423.0,6.0,430.0
703,Dade,2281.779551,2786.717741,257.32484680000005,0.0,7883,MO,1540,3571.0,3390.0,5.0,181.0
704,Daggett,356.23429419999997,356.23429419999997,356.23429419999997,356.23429419999997,1059,UT,2829,468.0,446.0,5.0,22.0
705,Dakota,22455.299369999997,48834.515960000004,0.0,0.0,398552,MN,1359,232285.0,224645.0,3.0,7640.0
706,Dakota,2437.262678,5408.309979,316.371546,0.0,21006,NE,1706,10994.0,10605.0,4.0,389.0
707,Dale,13133.77808,17115.07073,455.6984131,0.0,50251,AL,24,19837.0,18575.0,6.0,1262.0
708,Dallam,1432.925624,2477.534842,396.64552280000004,67.96510390000002,6703,TX,2625,4004.0,3917.0,2.0,87.0
709,Dallas,13417.272640000001,20618.12848,2988.041713,0.0,43820,AL,25,15589.0,14094.0,10.0,1495.0
710,Dallas,2376.871389,3329.405486,555.6659076000001,0.0,8116,AR,138,2873.0,2666.0,7.0,207.0
711,Dallas,5174.594848,8924.522331999999,0.0,0.0,66135,IA,832,43706.0,42445.0,3.0,1261.0
712,Dallas,5077.924897,5593.358658,1358.833991,0.0,16777,MO,1541,6981.0,6546.0,6.0,435.0
713,Dallas,209789.2427,594338.2916,0.0,0.0,2368139,TX,2626,1261721.0,1207803.0,4.0,53918.0
714,Dane,34906.89262,72511.95252,3.31068297,0.0,488073,WI,3112,310992.0,301087.0,3.0,9905.0
715,Daniels,611.4978286,611.4978286,611.4978286,611.4978286,1751,MT,1637,942.0,918.0,3.0,24.0
716,Danville,3946.057685,15931.534819999999,0.0,0.0,43055,VA,2972,19117.0,17735.0,7.0,1382.0
717,Dare,5224.804709,7245.662426000001,354.3824722,0.0,33920,NC,1954,20299.0,18785.0,8.0,1514.0
718,Darke,9114.168435,13099.62315,52.85202417,0.0,52959,OH,2100,26215.0,25098.0,4.0,1117.0
719,Darlington,19834.23622,25019.71854,4.147015904,0.0,68681,SC,2375,30066.0,27851.0,7.0,2215.0
720,Dauphin,41276.46361,57707.06876,0.0,0.0,268100,PA,2307,140983.0,134421.0,5.0,6562.0
721,Davidson,36736.188969999996,48275.757139999994,0.0,0.0,162878,NC,1955,78735.0,74355.0,6.0,4380.0
722,Davidson,60391.8204,163486.12900000002,0.0,0.0,626681,TN,2492,363536.0,347645.0,4.0,15891.0
723,Davie,10331.93131,11957.48481,0.0,0.0,41240,NC,1956,19848.0,18849.0,5.0,999.0
724,Daviess,6503.5423359999995,10092.33777,0.0,0.0,31648,IN,728,15695.0,15101.0,4.0,594.0
725,Daviess,10028.607740000001,21823.20214,133.2284179,0.0,96656,KY,1043,45150.0,43062.0,5.0,2088.0
726,Daviess,2447.49694,2680.058111,770.8736913,0.0,8433,MO,1542,4088.0,3901.0,5.0,187.0
727,Davis,2360.727862,2716.4474600000003,474.87758669999994,0.0,8753,IA,833,4179.0,3992.0,5.0,187.0
728,Davis,16609.93489,43227.96465,0.0,0.0,306479,UT,2830,160321.0,154896.0,3.0,5425.0
729,Davison,2037.426622,4580.2841100000005,260.4174989,0.0,19504,SD,2423,11305.0,11018.0,3.0,287.0
730,Dawes,1336.368483,2878.974405,811.2643416,565.4011857999999,9182,NE,1707,5250.0,5114.0,3.0,136.0
731,Dawson,5444.213085,6146.333344,0.0,0.0,22330,GA,443,10945.0,10387.0,5.0,558.0
732,Dawson,1492.529958,2074.482589,423.255614,246.8746208,8966,MT,1638,4813.0,4662.0,3.0,151.0
733,Dawson,5083.722079,8067.265003,721.885956,10.67618388,24326,NE,1708,13062.0,12648.0,3.0,414.0
734,Dawson,2239.336197,4798.25808,524.1842196,74.05364329,13833,TX,2627,4769.0,4553.0,5.0,216.0
735,Day,1468.248501,1714.003596,1100.395246,6.929165762999999,5710,SD,2424,2855.0,2712.0,5.0,143.0
736,De Baca,993.9147436000001,993.9147436000001,993.9147436000001,993.9147436000001,2022,NM,,,,,
737,De Soto,8570.062740000001,10520.03723,2118.93248,0.0,26656,LA,,,,,
738,De Witt,1696.093093,2852.676231,72.68759981,0.0,16561,IL,,,,,
739,DeKalb,28122.49913,31679.668889999997,0.0,0.0,71109,AL,26,28767.0,27022.0,6.0,1745.0
740,DeKalb,62843.42535,168201.4999,0.0,0.0,691893,GA,445,373115.0,350620.0,6.0,22495.0
741,DeKalb,17601.6384,30065.1573,39.72692422,0.0,105160,IL,630,54601.0,51549.0,6.0,3052.0
742,DeKalb,8122.648058,11294.86794,0.0,0.0,42223,IN,731,21784.0,20887.0,4.0,897.0
743,DeKalb,2851.9812420000003,3590.7473630000004,1745.3545170000002,0.0,12892,MO,1543,5050.0,4816.0,5.0,234.0
744,DeKalb,6500.982977000001,7538.194262000001,90.48651571,0.0,18723,TN,2494,7354.0,6849.0,7.0,505.0
745,DeSoto,8962.605604999999,13363.625540000001,168.20542939999999,0.006602451,34862,FL,346,13379.0,12601.0,6.0,778.0
746,DeSoto,24571.844830000002,37466.04339,433.1802541,0.0,161252,MS,1445,84566.0,80508.0,5.0,4058.0
747,DeWitt,4819.639805,7399.526936,470.5907034,0.0,20097,TX,2631,10045.0,9645.0,4.0,400.0
748,Deaf Smith,3522.702739,7155.150231999999,275.96968280000004,50.38821268,19372,TX,,,,,
749,Dearborn,10383.330390000001,11197.20483,0.0,0.0,50047,IN,729,25214.0,23920.0,5.0,1294.0
750,Decatur,8065.134620000001,9376.044658,718.7861707000001,0.0,27842,GA,444,11394.0,10620.0,7.0,774.0
751,Decatur,2009.5587649999998,3134.527911,357.7277917,0.0,8457,IA,834,4431.0,4285.0,3.0,146.0
752,Decatur,4713.648393,6504.7316439999995,1000.4662390000001,0.0,25740,IN,730,14293.0,13711.0,4.0,582.0
753,Decatur,472.66584850000004,629.8486329,229.4345498,0.001293458,2961,KS,927,1351.0,1301.0,4.0,50.0
754,Decatur,4236.357951,5074.040672,318.13642660000005,0.0,11757,TN,2493,4704.0,4334.0,8.0,370.0
755,Deer Lodge,1794.366451,3528.0605939999996,211.6475742,19.86705631,9298,MT,,,,,
756,Defiance,6986.656496,10555.952440000001,0.0,0.0,39037,OH,2101,18671.0,17756.0,5.0,915.0
757,Del Norte,6324.360978,9305.821381,852.2400034,42.89245085,28610,CA,,,,,
758,Delaware,3566.001425,4599.586547999999,320.3662268,0.0,17764,IA,835,10692.0,10328.0,3.0,364.0
759,Delaware,14686.034930000002,36095.57419,0.0,0.0,117671,IN,732,54442.0,51339.0,6.0,3103.0
760,Delaware,11082.82158,12576.12927,435.6799525,0.0,47980,NY,1876,19609.0,18435.0,6.0,1174.0
761,Delaware,11426.92257,19295.9204,0.0,0.0,174214,OH,2102,102340.0,98729.0,4.0,3611.0
762,Delaware,17315.93295,18735.23375,2790.583596,0.0,41487,OK,2191,17475.0,16609.0,5.0,866.0
763,Delaware,20829.236569999997,71187.68368999999,0.0,0.0,558979,PA,2308,291513.0,277251.0,5.0,14262.0
764,Delta,6396.396764,8528.008081,140.2096785,0.000175539,30952,CO,269,13438.0,12670.0,6.0,768.0
765,Delta,6286.887422,8878.260218000001,1245.20192,109.48740959999999,37069,MI,1277,17210.0,16042.0,7.0,1168.0
766,Delta,1150.8309060000001,1507.502536,138.7677642,0.0,5231,TX,2629,2592.0,2474.0,5.0,118.0
767,Denali,338.3124912,338.3124912,338.3124912,338.3124912,1826,AK,75,1072.0,978.0,9.0,94.0
768,Dent,4002.232985,5330.53945,929.8995225,2.205248609,15657,MO,1544,6301.0,5934.0,6.0,367.0
